Location,Price,Type of House,Land Area,Bedrooms,Toilets,Total Floors,Main Door Direction,Balcony Direction,Legal Documents,fingerprint
"Phường 15, Quận Bình Thạnh",4.16,"Nhà hẻm, ngõ",36.0,4.0,3.0,2.0,,,Sổ hồng,e35b7896871501c265ddb2f0f8cc9029
"Xã Tân Kiên, Huyện Bình Chánh",1.0,Nhà mặt tiền,93.9,3.0,2.0,1.0,,,Sổ hồng,94f48799ba77367569849197a1e5d8ae
"Phường Thạnh Xuân, Quận 12",6.5,"Nhà hẻm, ngõ",138.0,3.0,3.0,2.0,,,Sổ hồng,dfb84b104bf29e77a761bb7d522bc55a
"Phường 5, Quận Gò Vấp",23.0,"Nhà hẻm, ngõ",135.0,21.0,21.0,5.0,Tây Nam,,Sổ hồng,9d477ad3e1b9c69d37afa1e101358855
"Xã Phạm Văn Hai, Huyện Bình Chánh",38.0,Nhà mặt tiền,900.0,,,,Đông Nam,,Sổ hồng,6b29e6c26cb59700b4b66dc3e2ab86e6
"Phường 1, Quận Tân Bình",6.5,Đất thổ cư,48.0,,,,,,Sổ hồng,33ac89697287992ed061d9d1a126764c
"Phường 14, Quận 3",43.5,"Biệt thự, Villa",160.0,9.0,9.0,5.0,,,Giấy tờ hợp lệ,b885bba9e7949f0ace7db371134ae484
"Phường Hiệp Bình Chánh, TP. Thủ Đức - Quận Thủ Đức",19.0,Nhà mặt tiền,120.0,3.0,5.0,,Tây Bắc,,Sổ hồng,8be170c793970ad5d2eba8370181dc83
"Phường An Phú Đông, Quận 12",9.6,Nhà mặt tiền,100.1,,,,,,Sổ hồng,a3c62ef652a2efbae7843f28a2f2411f
"Phường 11, Quận Phú Nhuận",1.49,"Nhà hẻm, ngõ",11.0,1.0,1.0,,Đông,Đông,Sổ hồng,870d3899de1d1f2678d1965f3eab3dff
"Phường 15, Quận Tân Bình",1.86,"Nhà hẻm, ngõ",16.0,2.0,2.0,3.0,Tây Nam,Tây Nam,Sổ hồng,2a42d35835840a9066e7078cdee9ea7e
"Phường Tân Phong, Quận 7",19.5,Nhà mặt tiền,90.0,5.0,4.0,4.0,,Bắc,Sổ hồng,18ad383faf45deabec23510a135c4633
"Phường 9, Quận Phú Nhuận",17.0,Nhà mặt tiền,67.0,,,,,,Sổ hồng,f97d30cbcd25ed25d1c0466fad33c00f
"Phường 5, Quận Phú Nhuận",1.0,"Nhà hẻm, ngõ",10.0,2.0,2.0,2.0,,,Sổ hồng,8b8b2a0c467bd4f518348e6380dd6cd8
"Phường 5, Quận Bình Thạnh",8.6,"Nhà hẻm, ngõ",51.8,4.0,5.0,4.0,Tây Nam,Tây Nam,Sổ hồng,b79b9997291e057c5c84d2453a515f2d
"Phường 24, Quận Bình Thạnh",7.09,"Nhà hẻm, ngõ",32.0,4.0,3.0,3.0,,,Sổ đỏ,72760a09bfa76d44b14348427bddef6d
"Phường 22, Quận Bình Thạnh",18.1,Nhà mặt tiền,80.0,,,,,,Sổ hồng,7bfcc4dc249ef2a259d5b21c81811db0
"Phường 13, Quận Phú Nhuận",12.5,"Nhà hẻm, ngõ",66.0,4.0,5.0,4.0,Đông Bắc,Đông Bắc,Sổ hồng,0a12d1683c69a35d9e3c422a0b1b354b
"Phường Linh Xuân, TP. Thủ Đức - Quận Thủ Đức",24.0,"Nhà hẻm, ngõ",840.0,38.0,,,,,Sổ hồng,bbf792b1f409a01638af06d1b6ec597a
"Phường Linh Tây, TP. Thủ Đức - Quận Thủ Đức",2.59,Nhà mặt tiền,23.5,2.0,2.0,1.0,,,Sổ hồng,2ae2febc5ade325a99b789cd449985bd
"Phường 5, Quận Tân Bình",5.9,"Nhà hẻm, ngõ",60.2,3.0,3.0,3.0,Đông,Đông,Sổ đỏ,9b1179a6f3973c5fd99fc3b6e3b4a811
